,gene,betaLasso,lassoPValue,pearsonCoeff,rfScore,betaRidge,spearmanCoeff,betaSqrtLasso,bindingSites,targetGene,rank
252007,DLX3,0.270409027,1.04E-09,0.339356792,26.33793349,0.234668435,0.331291178,0.271150425,115,FOXO6,1
347691,DLX3,0.055646568,1.34E-11,0.373530569,1.936991649,0.042035089,0.3497979,0.050023949,67,TLE1,1
494260,DLX3,0.134980298,6.91E-28,0.570354313,2.099443148,0.051920696,0.545552838,0.148493198,31,TFAP2C,1
534126,DLX3,0.539423412,6.45E-33,0.611851483,21.89462084,0.213739743,0.600528455,0.573259356,49,DLX4,1
380390,DLX3,0.109896071,1.48E-15,0.434551893,1.614823764,0.067920869,0.401034681,0.113111774,31,MAP2K3,2
482101,DLX3,0.367632716,9.77E-20,0.489017971,13.10018281,0.195284696,0.484021503,0.459398963,92,RHOV,2
133036,DLX3,0,0.734570218,0.291069623,0.793431242,0.018232652,0.313148594,0,204,TTC7A,3
265690,DLX3,0.030502358,0.000776614,0.34584705,1.292976074,0.053781093,0.369983469,0.043906109,117,TSPAN14,3
376027,DLX3,0.050832304,2.62E-11,0.397908656,1.475585413,0.041550615,0.375947359,0.048884866,137,PDGFB,3
427217,DLX3,0.096579039,6.99E-17,0.453404519,1.463359774,0.048787996,0.430414096,0.099690573,289,BAIAP2,3
467826,DLX3,0.054431838,2.50E-17,0.46605788,1.342538218,0.047720577,0.461607978,0.040008045,22,IER2,3
494400,DLX3,0.109461568,1.92E-29,0.581236036,2.153997392,0.057602454,0.557193621,0.118323613,394,TLE3,4
171313,DLX3,0.024168087,0.001898319,0.308351627,0.791928514,0.05201541,0.287832338,0.037149132,27,TTC9,5
327409,DLX3,0.01271021,0.00087544,0.370285368,0.84500399,0.035126105,0.361332925,0.018586107,127,SMAD7,6
137364,DLX3,0.056406921,1.28E-05,0.293044663,2.349049986,0.062687962,0.296550483,0.063721383,28,IGSF9,7
209515,DLX3,0.008512194,3.52E-06,0.322038365,0.439982845,0.014951585,0.313669086,0.006563234,238,PPRC1,7
230408,DLX3,0.007017334,0.002177607,0.323508454,0.575661437,0.037344204,0.348926127,0.023364547,44,ZNF362,7
320839,DLX3,0,0.804441363,0.352400094,0.510264717,0.020786493,0.359238513,0,117,BAG3,8
128467,DLX3,0.042859656,3.83E-07,0.289649142,1.461656953,0.045204925,0.268303294,0.044939289,21,DGKA,9
172706,DLX3,0.069525978,9.76E-08,0.309676829,1.57013309,0.073648071,0.300559726,0.085497135,92,PLXNA2,9
467848,DLX3,0.01624549,5.99E-08,0.475423871,1.012185367,0.056101206,0.49357534,0.054490547,153,CISH,13
