gene,betaLasso,lassoPValue,pearsonCoeff,rfScore,betaRidge,spearmanCoeff,betaSqrtLasso,bindingSites,targetGene,rank
GCM1,0.699065352,4.36E-06,0.258732373,0,0.699065352,0.322634414,0.699065352,63,ATE1-AS1,1
GCM1,0.096725062,2.10E-18,0.471570195,4.712596734,0.050933554,0.463360648,0.091972148,425,CDR2L,1
GCM1,0.048092973,5.27E-10,0.345815217,1.161031891,0.034781241,0.349928541,0.049899711,79,ELMO2,1
GCM1,0.191464008,1.32E-13,0.401726438,11.85842875,0.100615299,0.398977595,0.190531119,56,FZD10,1
GCM1,0.102091529,1.15E-31,0.604827833,1.987059575,0.030111783,0.593142439,0.08449581,107,KCTD1,1
GCM1,0.320229746,1.79E-44,0.688575861,12.04155505,0.117258523,0.657529224,0.321507339,39,KLF5,1
GCM1,-0.032609715,1.34E-20,-0.49749155,0.574448211,-0.020673083,-0.470853666,-0.015718041,175,MTHFR,1
GCM1,0.092379267,7.33E-15,0.424511873,2.1848345,0.045126148,0.409430992,0.085892516,52,NFYB,1
GCM1,0.11057085,8.66E-17,0.451017851,2.612777804,0.042798925,0.471171767,0.116517394,66,SERPINB8,1
GCM1,0.145632122,1.08E-23,0.530584195,5.441640121,0.066360968,0.512282378,0.150021903,171,SOCS2,1
GCM1,0.145306475,9.63E-20,0.503182634,5.122209549,0.076025316,0.489204032,0.168712953,66,STARD8,1
GCM1,-0.136401207,1.20E-15,-0.435579958,2.643836631,-0.060572393,-0.438153467,-0.140125184,76,ZNF43,1
GCM1,0.048678203,1.69E-14,0.498424998,5.690971916,0.063478531,0.494961799,0.055651364,121,B3GNT5,2
GCM1,0,0.982109223,-0.269106402,15.96751156,-0.075851655,-0.2990982,0,96,BDKRB2,2
GCM1,0.145109828,1.53E-32,0.611491469,3.308291771,0.058361292,0.56816751,0.149887838,248,CISH,2
GCM1,-0.114818404,5.23E-22,-0.514506269,2.708792246,-0.040792884,-0.504741251,-0.091852212,65,ENC1,2
GCM1,0.253297984,1.67E-14,0.419314669,12.24076378,0.131824738,0.379542697,0.252165747,90,GABBR2,2
GCM1,0.440659891,4.59E-13,0.407192534,28.82946714,0.208062174,0.391200898,0.456897464,20,KCTD4,2
GCM1,0,3.70E-08,-0.311480447,0.806636032,-0.011210082,-0.332335066,0,59,LIAS,2
GCM1,-0.050107575,2.11E-12,-0.458789481,6.695120804,-0.057932184,-0.496619495,-0.032871584,100,NR1D1,2
